Id,Predicted
283003,0.0
283004,0.0
283005,1.0
283006,0.0
283007,0.0
283008,1.0
283009,0.0
283010,0.0
283011,0.0
283012,0.0
283013,1.0
283014,1.0
283015,0.0
283016,1.0
283017,0.0
283018,0.0
283019,1.0
283020,0.0
283021,0.0
283022,0.0
283023,1.0
283024,1.0
283025,1.0
283026,0.0
283027,1.0
283028,1.0
283029,1.0
283030,0.0
283031,1.0
283032,1.0
283033,1.0
283034,1.0
283035,0.0
283036,0.0
283037,1.0
283038,0.0
283039,0.0
283040,0.0
283041,1.0
283042,0.0
283043,1.0
283044,1.0
283045,0.0
283046,1.0
283047,0.0
283048,0.0
283049,0.0
283050,1.0
283051,0.0
283052,1.0
283053,1.0
283054,1.0
283055,1.0
283056,1.0
283057,0.0
283058,1.0
283059,1.0
283060,0.0
283061,0.0
283062,0.0
283063,0.0
283064,0.0
283065,1.0
283066,1.0
283067,0.0
283068,0.0
283069,0.0
283070,1.0
283071,1.0
283072,0.0
283073,1.0
283074,1.0
283075,1.0
283076,1.0
283077,0.0
283078,1.0
283079,1.0
283080,1.0
283081,0.0
283082,0.0
283083,0.0
283084,1.0
283085,0.0
283086,0.0
283087,0.0
283088,0.0
283089,0.0
283090,0.0
283091,0.0
283092,0.0
283093,1.0
283094,1.0
283095,0.0
283096,1.0
283097,0.0
283098,0.0
283099,1.0
283100,0.0
283101,1.0
283102,0.0
283103,1.0
283104,0.0
283105,1.0
283106,1.0
283107,0.0
283108,0.0
283109,1.0
283110,0.0
283111,1.0
283112,0.0
283113,1.0
283114,1.0
283115,0.0
283116,0.0
283117,1.0
283118,0.0
283119,0.0
283120,1.0
283121,1.0
283122,0.0
283123,0.0
283124,0.0
283125,0.0
283126,1.0
283127,0.0
283128,0.0
283129,0.0
283130,0.0
283131,1.0
283132,0.0
283133,0.0
283134,0.0
283135,1.0
283136,1.0
283137,0.0
283138,1.0
283139,0.0
283140,1.0
283141,0.0
283142,0.0
283143,0.0
283144,0.0
283145,1.0
283146,1.0
283147,0.0
283148,0.0
283149,0.0
283150,1.0
283151,0.0
283152,0.0
283153,0.0
283154,1.0
283155,1.0
283156,1.0
283157,1.0
283158,0.0
283159,0.0
283160,0.0
283161,1.0
283162,0.0
283163,0.0
283164,0.0
283165,0.0
283166,0.0
283167,1.0
283168,0.0
283169,0.0
283170,0.0
283171,0.0
283172,0.0
283173,0.0
283174,1.0
283175,0.0
283176,0.0
283177,0.0
283178,1.0
283179,0.0
283180,0.0
283181,0.0
283182,0.0
283183,0.0
283184,0.0
283185,0.0
283186,0.0
283187,0.0
283188,0.0
283189,1.0
283190,0.0
283191,1.0
283192,1.0
283193,1.0
283194,0.0
283195,0.0
283196,0.0
283197,0.0
283198,0.0
283199,0.0
283200,1.0
283201,1.0
283202,1.0
283203,0.0
283204,0.0
283205,0.0
283206,0.0
283207,1.0
283208,0.0
283209,0.0
283210,1.0
283211,0.0
283212,1.0
283213,0.0
283214,0.0
283215,0.0
283216,0.0
283217,1.0
283218,0.0
283219,1.0
283220,0.0
283221,0.0
283222,1.0
283223,1.0
283224,0.0
283225,1.0
283226,1.0
283227,1.0
283228,1.0
283229,1.0
283230,1.0
283231,0.0
283232,0.0
283233,0.0
283234,1.0
283235,0.0
283236,0.0
283237,0.0
283238,0.0
283239,1.0
283240,0.0
283241,0.0
283242,0.0
283243,0.0
283244,0.0
283245,0.0
283246,1.0
283247,0.0
283248,0.0
283249,1.0
283250,0.0
283251,0.0
283252,0.0
283253,0.0
283254,0.0
283255,0.0
283256,0.0
283257,0.0
283258,1.0
283259,0.0
283260,0.0
283261,0.0
283262,0.0
283263,0.0
283264,0.0
283265,1.0
283266,1.0
283267,0.0
283268,0.0
283269,0.0
283270,0.0
283271,0.0
283272,0.0
283273,0.0
283274,0.0
283275,1.0
283276,0.0
283277,0.0
283278,0.0
283279,0.0
283280,1.0
283281,0.0
283282,0.0
283283,0.0
283284,0.0
283285,0.0
283286,0.0
283287,0.0
283288,0.0
283289,0.0
283290,0.0
283291,1.0
283292,1.0
283293,1.0
283294,0.0
283295,0.0
283296,0.0
283297,1.0
283298,0.0
283299,0.0
283300,1.0
283301,1.0
283302,0.0
283303,1.0
283304,0.0
283305,0.0
283306,0.0
283307,0.0
283308,0.0
283309,1.0
283310,0.0
283311,0.0
283312,0.0
283313,0.0
283314,0.0
283315,0.0
283316,0.0
283317,0.0
283318,0.0
283319,0.0
283320,0.0
283321,0.0
283322,1.0
283323,0.0
283324,0.0
283325,0.0
283326,0.0
283327,0.0
283328,1.0
283329,0.0
283330,1.0
283331,0.0
283332,0.0
283333,0.0
283334,0.0
283335,0.0
283336,0.0
283337,1.0
283338,1.0
283339,0.0
283340,1.0
283341,1.0
